CELSIUS FULL AUDIT REPORT
================================================================================

Total issues: 943

By category:
  DASH: 716
  FR-LINK: 149
  TERM-HU: 44
  TERM-PL: 34

================================================================================
DETAILED ISSUES
================================================================================
[DASH] FTD Retention Flow | Email 5S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5S | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5S | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 5S | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6C | Default: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 6C | fr-FR: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 6M | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6S | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6S | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6S | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6S | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 6S | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7C | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7C | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7M | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7M | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7M | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7M | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7M | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7S | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7S | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 7S | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8C | Default: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 8C | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8C | fr-FR: subject: contains en-dash "–"
[DASH] FTD Retention Flow | Email 8C | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8M | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8M | fr-FR: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8S | Default: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8S | Default: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8S | Default: text_2: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8S | fr-FR: preheader: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8S | fr-FR: subject: contains em-dash "—"
[DASH] FTD Retention Flow | Email 8S | fr-FR: text_2: contains em-dash "—"
[DASH] Nutrition #2 | Email 1CL | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CL | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CL | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CL | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CS | Default: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 1CS | Default: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CS | fr-FR: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 1CS | fr-FR: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CS | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CS | hu-HU: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CS | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 1CS | pl-PL: text_2: contains en-dash "–"
[DASH] Nutrition #2 | Email 1S | Default: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 1S | fr-FR: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 1S | hu-HU: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 1S | pl-PL: preheader: contains en-dash "–"
[DASH] Nutrition #2 | Email 2CL | Default: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 2CL | fr-FR: preheader: contains em-dash "—"
[DASH] Nutrition #2 | Email 2CL | hu-HU: preheader: contains en-dash "–"
