CIO Campaign ID	Status	Message Type	Send Date	Sent	Delivered	Opened	Open Rate	Clicked	Click Rate	CTR (Click-Through Rate)	Converted	Conversion Rate	Bounced	Bounce Rate	Failed (CIO)	Unsubscribed	Total Deposits Amount
194179	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194180	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194181	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194182	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194183	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194184	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194185	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194186	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194187	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194188	Draft/Scheduled	email		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
194189	Draft/Scheduled	in_app		0	0	0	0,00%	0	0,00%	0,00%	0	0,00%	0	0,00%	0	0	0,00
